guid	Item_No	Term	Category	title	Skill_Level	Instructor	Day	Age_Group	Time	ClassDate	Weeks	Model_Fee	Lab_Fee	Price	body	
3010	4.63	1B	Ceramics	Pottery & Clay Sculpture	OPEN		Tuesday	Adults	6:30 - 9:00 PM	9/30 - 10/21	4		23	155	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3011	4.63	2	Ceramics	Pottery && Clay Sculpture	OPEN		Tuesday	Adults	6:30 - 9:00 PM	10/28 - 12/16	8		45	285	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3012	4.12	2	Ceramics	Pottery and Clay Sculpture	OPEN	Catalina Hoffman	Monday	Adults	9:00 AM - 12:00 PM	10/27 - 12/15	8		50	320	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3013	4.12	1A	Ceramics	Pottery and Clay Sculpture	OPEN	Catalina Hoffman	Monday	Adults	9:00 AM - 12:00 PM	9/8 - 9/22	3		25	135	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3014	4.12	1B	Ceramics	Pottery and Clay Sculpture	OPEN	Catalina Hoffman	Monday	Adults	9:00 AM - 12:00 PM	9/29 - 10/13	3		25	185	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3015	4.13	2	Ceramics	Pottery and Clay Sculpture	OPEN	Catalina Hoffman	Monday	Adults	1:00 - 4:00 PM	10/27 - 12/15	8		50	320	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3016	4.13	1A	Ceramics	Pottery and Clay Sculpture	OPEN	Catalina Hoffman	Monday	Adults	1:00 - 4:00 PM	9/8 - 9/22	3		25	135	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3017	4.13	1B	Ceramics	Pottery and Clay Sculpture	OPEN	Catalina Hoffman	Monday	Adults	1:00 - 4:00 PM	9/29 - 10/13	3		25	135	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3018	2.01	2	Drawing	Basic Drawing	OPEN	Jane Mcintyre	Monday	Adults	1:00 - 4:00 PM	10/27 - 12/15	8			310	This class is an introduction to drawing from observation. Students explore the versatility of pencil and charcoal to draw from observation using line, gesture, shading, and shape with an emphasis on composition and design. Drawing is the foundation of all the arts.	
3019	2.01	1A	Drawing	Basic Drawing	OPEN	Jane Mcintyre	Monday	Adults	1:00 - 4:00 PM	9/8 - 9/22	3			130	This class is an introduction to drawing from observation. Students explore the versatility of pencil and charcoal to draw from observation using line, gesture, shading, and shape with an emphasis on composition and design. Drawing is the foundation of all the arts.	
3020	2.01	1B	Drawing	Basic Drawing	OPEN	Jane Mcintyre	Monday	Adults	1:00 - 4:00 PM	9/29 - 10/13	3			130	This class is an introduction to drawing from observation. Students explore the versatility of pencil and charcoal to draw from observation using line, gesture, shading, and shape with an emphasis on composition and design. Drawing is the foundation of all the arts.	
3021	2.05	2	Drawing	Beyond Basic Drawing		Jane Mcintyre	Monday	Adults	9:00 AM - 12:00 PM	10/27 - 12/15	8			310	More than simply drawing what you see, this class focuses on designing a composition, using line, form and value to create interesting and stimulating drawing. Students explore drawing as preparation for painting or as a complete artwork in itself. A variety of media may be used in this intermediate level course.	
3022	2.05	1A	Drawing	Beyond Basic Drawing		Jane Mcintyre	Monday	Adults	9:00 AM - 12:00 PM	9/8 - 9/22	3			130	More than simply drawing what you see, this class focuses on designing a composition, using line, form and value to create interesting and stimulating drawing. Students explore drawing as preparation for painting or as a complete artwork in itself. A variety of media may be used in this intermediate level course.	
3023	2.05	1B	Drawing	Beyond Basic Drawing		Jane Mcintyre	Monday	Adults	9:00 AM - 12:00 PM	9/29 - 10/13	3			130	More than simply drawing what you see, this class focuses on designing a composition, using line, form and value to create interesting and stimulating drawing. Students explore drawing as preparation for painting or as a complete artwork in itself. A variety of media may be used in this intermediate level course.	
3024	2.54	2	Drawing	Drawing at the Museum		Chris Lopez	Tuesday	Adults	1:30 -  4:00 PM	10/28 - 12/16	8			265	Drawing inspiration from masterworks in museums is a time honored tradition. Degas, Ingres, Delacroix and Picasso each copied masterworks in the Louvre. Learn the fundamentals of drawing while drawing from artwork in the Museum and sculpture garden.	
3025	2.54	1A	Drawing	Drawing at the Museum		Chris Lopez	Tuesday	Adults	1:30 -  4:00 PM	9/9 - 9/23	3			110	Drawing inspiration from masterworks in museums is a time honored tradition. Degas, Ingres, Delacroix and Picasso each copied masterworks in the Louvre. Learn the fundamentals of drawing while drawing from artwork in the Museum and sculpture garden.	
3026	2.54	1B	Drawing	Drawing at the Museum		Chris Lopez	Tuesday	Adults	1:30 -  4:00 PM	9/30 - 10/21	4			145	Drawing inspiration from masterworks in museums is a time honored tradition. Degas, Ingres, Delacroix and Picasso each copied masterworks in the Louvre. Learn the fundamentals of drawing while drawing from artwork in the Museum and sculpture garden.	
3027	2.52	2	Drawing	Drawing for Absolute Beginners		Chris Lopez	Saturday	Adults	10:00 AM - 12:30 PM	11/1 - 12/13	7			250	Aimed at total beginners, exercises are designed to train your eye, hand and imagination to work together as a unit. Students learn how to draw objects based on simple shapes, and how to add shading and textures to make your drawings look real and three-dimensional. Whether your goal is to be able to draw from life, photos, or imagination, this class will help. Students have fun, learn a lot, and get off to a good start.	
3028	2.52	1A	Drawing	Drawing for Absolute Beginners		Chris Lopez	Saturday	Adults	10:00 AM - 12:30 PM	9/13 - 9/27	3			110	Aimed at total beginners, exercises are designed to train your eye, hand and imagination to work together as a unit. Students learn how to draw objects based on simple shapes, and how to add shading and textures to make your drawings look real and three-dimensional. Whether your goal is to be able to draw from life, photos, or imagination, this class will help. Students have fun, learn a lot, and get off to a good start.	
3029	2.52	1B	Drawing	Drawing for Absolute Beginners		Chris Lopez	Saturday	Adults	10:00 AM - 12:30 PM	10/4 - 10/18	3			110	Aimed at total beginners, exercises are designed to train your eye, hand and imagination to work together as a unit. Students learn how to draw objects based on simple shapes, and how to add shading and textures to make your drawings look real and three-dimensional. Whether your goal is to be able to draw from life, photos, or imagination, this class will help. Students have fun, learn a lot, and get off to a good start.	
3030	2.56	2	Drawing	Drawing for Absolute Beginners		Misoo Filan	Wednesday	Adults	6:30 - 9:00 PM	10/29 - 12/17	8			265	Aimed at total beginners, exercises are designed to train your eye, hand and imagination to work together as a unit. Students learn how to draw objects based on simple shapes, and how to add shading and textures to make your drawings look real and three-dimensional. Whether your goal is to be able to draw from life, photos, or imagination, this class will help. Students have fun, learn a lot, and get off to a good start.	
3031	2.56	1A	Drawing	Drawing for Absolute Beginners		Misoo Filan	Wednesday	Adults	6:30 - 9:00 PM	9/10 - 9/24	3			110	Aimed at total beginners, exercises are designed to train your eye, hand and imagination to work together as a unit. Students learn how to draw objects based on simple shapes, and how to add shading and textures to make your drawings look real and three-dimensional. Whether your goal is to be able to draw from life, photos, or imagination, this class will help. Students have fun, learn a lot, and get off to a good start.	
3032	2.56	1B	Drawing	Drawing for Absolute Beginners		Misoo Filan	Wednesday	Adults	6:30 - 9:00 PM	10/1 - 10/22	4			145	Aimed at total beginners, exercises are designed to train your eye, hand and imagination to work together as a unit. Students learn how to draw objects based on simple shapes, and how to add shading and textures to make your drawings look real and three-dimensional. Whether your goal is to be able to draw from life, photos, or imagination, this class will help. Students have fun, learn a lot, and get off to a good start.	
3033	2.57	2	Drawing	Drawing for Absolute Beginners		Chris Lopez	Tuesday	Adults	9:30 AM - 12:00 PM	10/28 - 12/16	8			265	Aimed at total beginners, exercises are designed to train your eye, hand and imagination to work together as a unit. Students learn how to draw objects based on simple shapes, and how to add shading and textures to make your drawings look real and three-dimensional. Whether your goal is to be able to draw from life, photos, or imagination, this class will help. Students have fun, learn a lot, and get off to a good start.	
3034	2.57	1A	Drawing	Drawing for Absolute Beginners		Chris Lopez	Tuesday	Adults	9:30 AM - 12:00 PM	9/9 - 9/23	3			110	Aimed at total beginners, exercises are designed to train your eye, hand and imagination to work together as a unit. Students learn how to draw objects based on simple shapes, and how to add shading and textures to make your drawings look real and three-dimensional. Whether your goal is to be able to draw from life, photos, or imagination, this class will help. Students have fun, learn a lot, and get off to a good start.	
3035	2.57	1B	Drawing	Drawing for Absolute Beginners		Chris Lopez	Tuesday	Adults	9:30 AM - 12:00 PM	9/30 - 10/21	4			145	Aimed at total beginners, exercises are designed to train your eye, hand and imagination to work together as a unit. Students learn how to draw objects based on simple shapes, and how to add shading and textures to make your drawings look real and three-dimensional. Whether your goal is to be able to draw from life, photos, or imagination, this class will help. Students have fun, learn a lot, and get off to a good start.	
3036	2.18	2	Drawing	Fashion Illustration & Design	ADULTS	Amy Berkowitz	Monday	Adults	6:30 - 8:30 PM	10/27 - 12/15	8			225	Learn fashion illustration techniques to strengthen individual artistic expression, bringing to life creative ideas. Focus on collections, line building and industry standards required in creating a brand.	
3037	2.18	1A	Drawing	Fashion Illustration & Design	ADULTS	Amy Berkowitz	Monday	Adults	6:30 - 8:30 PM	9/8 - 9/22	3			100	Learn fashion illustration techniques to strengthen individual artistic expression, bringing to life creative ideas. Focus on collections, line building and industry standards required in creating a brand.	
3038	2.18	1B	Drawing	Fashion Illustration & Design	ADULTS	Amy Berkowitz	Monday	Adults	6:30 - 8:30 PM	9/29 - 10/13	3			100	Learn fashion illustration techniques to strengthen individual artistic expression, bringing to life creative ideas. Focus on collections, line building and industry standards required in creating a brand.	
3039	2.28	2	Drawing	Figure Drawing / Life Drawing		Suzanne Scherer & Pavel Ouporov  	Thursday	Adults	12:30 - 3:30 PM	10/30 - 12/11	7	55		295	Drawing from the nude model, learn the traditional method of rendering the human figure based on direct observation and timeless techniques. Gain an understanding of human anatomy from the simple geometric forms to the more complex structures of the body. Proportion, light, value, spatial relationships, perspective, and design principles are addressed.	
3040	2.28	1A	Drawing	Figure Drawing / Life Drawing		Suzanne Scherer & Pavel Ouporov  	Thursday	Adults	12:30 - 3:30 PM	09/11 -  9/25	3	25		130	Drawing from the nude model, learn the traditional method of rendering the human figure based on direct observation and timeless techniques. Gain an understanding of human anatomy from the simple geometric forms to the more complex structures of the body. Proportion, light, value, spatial relationships, perspective, and design principles are addressed.	
3041	2.28	1B	Drawing	Figure Drawing / Life Drawing		Suzanne Scherer & Pavel Ouporov  	Thursday	Adults	12:30 - 3:30 PM	10/2 - 10/23	4	32		175	Drawing from the nude model, learn the traditional method of rendering the human figure based on direct observation and timeless techniques. Gain an understanding of human anatomy from the simple geometric forms to the more complex structures of the body. Proportion, light, value, spatial relationships, perspective, and design principles are addressed.	
3042	2.07	2	Drawing	Figure Drawing: Expressive Drawing Techniques		Teresa Kirk	Friday	Adults	9:00 AM - 12:00 PM	10/31 - 12/12	7	55		295	Using the figure as a source of inspiration, learn proportion and foreshortening as you develop confidence in drawing the model. Define mass and shape using light and shading and explore ways to integrate the background. Working from short gestural sketches to longer studies, students may choose to work in pencil, charcoal, ink, watercolor or gouache.	
3043	2.07	1A	Drawing	Figure Drawing: Expressive Drawing Techniques		Teresa Kirk	Friday	Adults	9:00 AM - 12:00 PM	09/12 - 9/26	3	25		130	Using the figure as a source of inspiration, learn proportion and foreshortening as you develop confidence in drawing the model. Define mass and shape using light and shading and explore ways to integrate the background. Working from short gestural sketches to longer studies, students may choose to work in pencil, charcoal, ink, watercolor or gouache.	
3044	2.07	1B	Drawing	Figure Drawing: Expressive Drawing Techniques		Teresa Kirk	Friday	Adults	9:00 AM - 12:00 PM	10/3 - 10/10/24	4	32		175	Using the figure as a source of inspiration, learn proportion and foreshortening as you develop confidence in drawing the model. Define mass and shape using light and shading and explore ways to integrate the background. Working from short gestural sketches to longer studies, students may choose to work in pencil, charcoal, ink, watercolor or gouache.	
3045	2.5	2	Drawing	Figure Drawing: Expressive Drawing Techniques		Barbara Wasserman	Tuesday	Adults	1:00 - 4:00 PM	10/28 - 12/16	8	65		310	Using the figure as a source of inspiration, learn proportion and foreshortening as you develop confidence in drawing the model. Define mass and shape using light and shading and explore ways to integrate the background. Working from short gestural sketches to longer studies, students may choose to work in pencil, charcoal, ink, watercolor or gouache.	
3046	2.5	1A	Drawing	Figure Drawing: Expressive Drawing Techniques		Barbara Wasserman	Tuesday	Adults	1:00 - 4:00 PM	9/9 - 9/23	3	25		130	Using the figure as a source of inspiration, learn proportion and foreshortening as you develop confidence in drawing the model. Define mass and shape using light and shading and explore ways to integrate the background. Working from short gestural sketches to longer studies, students may choose to work in pencil, charcoal, ink, watercolor or gouache.	
3047	2.5	1B	Drawing	Figure Drawing: Expressive Drawing Techniques		Barbara Wasserman	Tuesday	Adults	1:00 - 4:00 PM	9/30 - 10/21	4	32		175	Using the figure as a source of inspiration, learn proportion and foreshortening as you develop confidence in drawing the model. Define mass and shape using light and shading and explore ways to integrate the background. Working from short gestural sketches to longer studies, students may choose to work in pencil, charcoal, ink, watercolor or gouache.	
3048	2.53	2	Drawing	Graphic Novels - Cartooning		Gwen Seuling	Wednesday	Adults	6:30 - 8:30 PM	10/29 - 12/17	8			225	Learn the elements of a successful comic book and graphic novel narration. This course focuses on developing drawing skills and personal style for creating comics, short-stories, Manga or mural drawing. Explore a variety of techniques such as penciling, inking, shading, character design and effective story structure.	
3049	2.53	1A	Drawing	Graphic Novels - Cartooning		Gwen Seuling	Wednesday	Adults	6:30 - 8:30 PM	9/10 - 9/24	3			100	Learn the elements of a successful comic book and graphic novel narration. This course focuses on developing drawing skills and personal style for creating comics, short-stories, Manga or mural drawing. Explore a variety of techniques such as penciling, inking, shading, character design and effective story structure.	
3050	2.53	1B	Drawing	Graphic Novels - Cartooning		Gwen Seuling	Wednesday	Adults	6:30 - 8:30 PM	10/1 - 10/22	4			120	Learn the elements of a successful comic book and graphic novel narration. This course focuses on developing drawing skills and personal style for creating comics, short-stories, Manga or mural drawing. Explore a variety of techniques such as penciling, inking, shading, character design and effective story structure.	
3051	2.17	2	Drawing	Intermediate Portrait Drawing	INT-ADV	Kris Smith	Wednesday	Adults	1:00 - 4:00 PM	10/29 - 12/17	8	65		310	Capture the likeness of a live model using your choice of techniques in drawing, pastel, acrylics, oil or other media. Learn about anatomy, proportion, line and value from quick studies and longer poses.	
3052	2.17	1A	Drawing	Intermediate Portrait Drawing	INT-ADV	Kris Smith	Wednesday	Adults	1:00 - 4:00 PM	9/10 - 9/24	3	25		130	Capture the likeness of a live model using your choice of techniques in drawing, pastel, acrylics, oil or other media. Learn about anatomy, proportion, line and value from quick studies and longer poses.	
3053	2.17	1B	Drawing	Intermediate Portrait Drawing	INT-ADV	Kris Smith	Wednesday	Adults	1:00 - 4:00 PM	10/1 - 10/22	4	32		175	Capture the likeness of a live model using your choice of techniques in drawing, pastel, acrylics, oil or other media. Learn about anatomy, proportion, line and value from quick studies and longer poses.	
3054	2.51	2	Drawing	Zen Doodle	ADULTS	Christine Lyons	Wednesday	Adults	6:30 - 8:30 PM	10/29 - 12/17	8			225	Turn your doodling into art. Learn how to use your daydreaming doodling as the basis for personal artwork. Explore pushing your patterns and design to the extreme from postage size to mural size or incorporate traditional meditative forms such as mandalas.	
3055	2.51	1A	Drawing	Zen Doodle	ADULTS	Christine Lyons	Wednesday	Adults	6:30 - 8:30 PM	9/10 - 9/24	3			100	Turn your doodling into art. Learn how to use your daydreaming doodling as the basis for personal artwork. Explore pushing your patterns and design to the extreme from postage size to mural size or incorporate traditional meditative forms such as mandalas.	
3056	2.51	1B	Drawing	Zen Doodle	ADULTS	Christine Lyons	Wednesday	Adults	6:30 - 8:30 PM	10/1 - 10/22	4			120	Turn your doodling into art. Learn how to use your daydreaming doodling as the basis for personal artwork. Explore pushing your patterns and design to the extreme from postage size to mural size or incorporate traditional meditative forms such as mandalas.	
3057	5.13	2	Jewelry	Art Metal Clay Jewelry (Advanced)	ADULTS	Jane Levy	Friday	Adults	1:00 - 4:00 PM	10/31 - 12/12	7			305	Discover new techniques using ?Art Metal Clay? to bring your art jewelry to the next level. Explore ways of incorporating different metals, stones or glass. Learn carving and appliquﾊ techniques, and experiment with different finishes such as colors, patinas and buffing. Material fee: $35, paid to the instructor on the first day of class.	
3058	5.13	1A	Jewelry	Art Metal Clay Jewelry (Advanced)	ADULTS	Jane Levy	Friday	Adults	1:00 - 4:00 PM	09/12 - 9/26	3			135	Discover new techniques using ?Art Metal Clay? to bring your art jewelry to the next level. Explore ways of incorporating different metals, stones or glass. Learn carving and appliquﾊ techniques, and experiment with different finishes such as colors, patinas and buffing. Material fee: $35, paid to the instructor on the first day of class.	
3059	5.13	1B	Jewelry	Art Metal Clay Jewelry (Advanced)	ADULTS	Jane Levy	Friday	Adults	1:00 - 4:00 PM	10/3 - 10/10/24	4			185	Discover new techniques using ?Art Metal Clay? to bring your art jewelry to the next level. Explore ways of incorporating different metals, stones or glass. Learn carving and appliquﾊ techniques, and experiment with different finishes such as colors, patinas and buffing. Material fee: $35, paid to the instructor on the first day of class.	
3060	5.09	2	Jewelry	Art Metal Clay Jewelry in Bronze	ADULTS	Jane Levy	Wednesday	Adults	9:00 AM - 12:00 PM	10/29 - 12/17	8			320	Learn to make jewelry using art metal clay. You can carve, stamp or hand shape the art metal clay with your own designs, then, when it is fired in the kiln, the clay is burned off and you have beautiful jewelry in bronze. This class is ideal for the individual who wants results without years of training using the torch. Art metal clay opens new doors to your creativity. Material fee: $55 Includes bronze starter kit, finish supplies and bronze art clay for 3 projects. Material fee for repeat students: $35. Material fees are paid to the instructor on the first day of class.	
3061	5.09	1A	Jewelry	Art Metal Clay Jewelry in Bronze	ADULTS	Jane Levy	Wednesday	Adults	9:00 AM - 12:00 PM	9/10 - 9/24	3			135	Learn to make jewelry using art metal clay. You can carve, stamp or hand shape the art metal clay with your own designs, then, when it is fired in the kiln, the clay is burned off and you have beautiful jewelry in bronze. This class is ideal for the individual who wants results without years of training using the torch. Art metal clay opens new doors to your creativity. Material fee: $55 Includes bronze starter kit, finish supplies and bronze art clay for 3 projects. Material fee for repeat students: $35. Material fees are paid to the instructor on the first day of class.	
3062	5.09	1B	Jewelry	Art Metal Clay Jewelry in Bronze	ADULTS	Jane Levy	Wednesday	Adults	9:00 AM - 12:00 PM	10/1 - 10/22	4			185	Learn to make jewelry using art metal clay. You can carve, stamp or hand shape the art metal clay with your own designs, then, when it is fired in the kiln, the clay is burned off and you have beautiful jewelry in bronze. This class is ideal for the individual who wants results without years of training using the torch. Art metal clay opens new doors to your creativity. Material fee: $55 Includes bronze starter kit, finish supplies and bronze art clay for 3 projects. Material fee for repeat students: $35. Material fees are paid to the instructor on the first day of class.	
3063	5.1	2	Jewelry	Art Metal Clay Jewelry in Bronze	ADULTS	Jane Levy	Wednesday	Adults	1:00 - 4:00 PM	10/29 - 12/17	8			320	Learn to make jewelry using art metal clay. You can carve, stamp or hand shape the art metal clay with your own designs, then, when it is fired in the kiln, the clay is burned off and you have beautiful jewelry in bronze. This class is ideal for the individual who wants results without years of training using the torch. Art metal clay opens new doors to your creativity. Material fee: $55 Includes bronze starter kit, finish supplies and bronze art clay for 3 projects. Material fee for repeat students: $35. Material fees are paid to the instructor on the first day of class.	
3064	5.1	1A	Jewelry	Art Metal Clay Jewelry in Bronze	ADULTS	Jane Levy	Wednesday	Adults	1:00 - 4:00 PM	9/10 - 9/24	3			135	Learn to make jewelry using art metal clay. You can carve, stamp or hand shape the art metal clay with your own designs, then, when it is fired in the kiln, the clay is burned off and you have beautiful jewelry in bronze. This class is ideal for the individual who wants results without years of training using the torch. Art metal clay opens new doors to your creativity. Material fee: $55 Includes bronze starter kit, finish supplies and bronze art clay for 3 projects. Material fee for repeat students: $35. Material fees are paid to the instructor on the first day of class.	
3065	5.1	1B	Jewelry	Art Metal Clay Jewelry in Bronze	ADULTS	Jane Levy	Wednesday	Adults	1:00 - 4:00 PM	10/1 - 10/22	4			185	Learn to make jewelry using art metal clay. You can carve, stamp or hand shape the art metal clay with your own designs, then, when it is fired in the kiln, the clay is burned off and you have beautiful jewelry in bronze. This class is ideal for the individual who wants results without years of training using the torch. Art metal clay opens new doors to your creativity. Material fee: $55 Includes bronze starter kit, finish supplies and bronze art clay for 3 projects. Material fee for repeat students: $35. Material fees are paid to the instructor on the first day of class.	
3066	5.11	2	Jewelry	Art Metal Clay Jewelry in Bronze	ADULTS	Jane Levy	Friday	Adults	9:00 AM - 12:00 PM	10/31 - 12/12	7			305	Learn to make jewelry using art metal clay. You can carve, stamp or hand shape the art metal clay with your own designs, then, when it is fired in the kiln, the clay is burned off and you have beautiful jewelry in bronze. This class is ideal for the individual who wants results without years of training using the torch. Art metal clay opens new doors to your creativity. Material fee: $55 Includes bronze starter kit, finish supplies and bronze art clay for 3 projects. Material fee for repeat students: $35. Material fees are paid to the instructor on the first day of class.	
3067	5.11	1A	Jewelry	Art Metal Clay Jewelry in Bronze	ADULTS	Jane Levy	Friday	Adults	9:00 AM - 12:00 PM	09/12 - 9/26	3			135	Learn to make jewelry using art metal clay. You can carve, stamp or hand shape the art metal clay with your own designs, then, when it is fired in the kiln, the clay is burned off and you have beautiful jewelry in bronze. This class is ideal for the individual who wants results without years of training using the torch. Art metal clay opens new doors to your creativity. Material fee: $55 Includes bronze starter kit, finish supplies and bronze art clay for 3 projects. Material fee for repeat students: $35. Material fees are paid to the instructor on the first day of class.	
3068	5.11	1B	Jewelry	Art Metal Clay Jewelry in Bronze	ADULTS	Jane Levy	Friday	Adults	9:00 AM - 12:00 PM	10/3 - 10/10/24	4			185	Learn to make jewelry using art metal clay. You can carve, stamp or hand shape the art metal clay with your own designs, then, when it is fired in the kiln, the clay is burned off and you have beautiful jewelry in bronze. This class is ideal for the individual who wants results without years of training using the torch. Art metal clay opens new doors to your creativity. Material fee: $55 Includes bronze starter kit, finish supplies and bronze art clay for 3 projects. Material fee for repeat students: $35. Material fees are paid to the instructor on the first day of class.	
